0.0575 0.5
0.065 0.5
0.0725 0.5
0.08 0.5
0.0875 0.5
0.095 0.5
0.1025 0.5
0.11 0.5
0.1175 0.5
0.125 0.5
0.1325 0.5
0.14 0.5
0.1475 0.5
0.155 0.5
0.1625 0.5
0.17 0.5
0.1775 0.5
0.185 0.5
0.1925 0.5
0.2 0.5
0.24 0.547723
0.28 0.591608
0.32 0.632456
0.36 0.67082
0.4 0.707107
0.44 0.74162
0.48 0.774597
0.52 0.806226
0.56 0.83666
0.6 0.866025
0.64 0.894427
0.68 0.921954
0.72 0.948683
0.76 0.974679
0.8 1
0.84 1.0247
0.88 1.04881
0.92 1.07238
0.96 1.09545
1 1.11803
0.9625 1.11803
0.925 1.11803
0.8875 1.11803
0.85 1.11803
0.8125 1.11803
0.775 1.11803
0.7375 1.11803
0.7 1.11803
0.6625 1.11803
0.625 1.11803
0.5875 1.11803
0.55 1.11803
0.5125 1.11803
0.475 1.11803
0.4375 1.11803
0.4 1.11803
0.3625 1.11803
0.325 1.11803
0.2875 1.11803
0.25 1.11803
0.24 1.09545
0.23 1.07238
0.22 1.04881
0.21 1.0247
0.2 1
0.19 0.974679
0.18 0.948683
0.17 0.921954
0.16 0.894427
0.15 0.866025
0.14 0.83666
0.13 0.806226
0.12 0.774597
0.11 0.74162
0.1 0.707107
0.09 0.67082
0.08 0.632456
0.07 0.591608
0.06 0.547723
0.05 0.5
